Staff,Jack,Smith,jsmith@school.edu,E&T-310,300000,Computer Science Administrative Assistant
Address,117,Apt. 15,Sunshine Dr.,Los Angeles,CA,90012
Phone,Cell,555-555-5555
Student,Jack,Smith,jsmith@school.edu,freshman,4.0
Address,117,1,Sunshine Dr.,Los Angeles,CA,90012
Phone,Cell,555-555-5555
Phone,Home,777-777-7777
Faculty,Jack,Smith,jsmith@school.edu,E&T-310,400000,M/W 1-2 T/TH 3-4,Full Time
Address,117,Apt. 21,Sunshine Dr.,Los Angeles,CA,90012
Phone,Cell,555-555-5555
Phone,Home,777-777-7777
Phone,Work,888-888-8888
